"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inverseOf","supersedes","supersededBy","isPartOf"
"http://schema.org/bestRating","bestRating","The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.","","","","http://schema.org/Rating","http://schema.org/Number, http://schema.org/Text","","",""
"http://schema.org/text","text","The textual content of this CreativeWork.","","","","http://schema.org/CreativeWork","http://schema.org/Text","","",""
"http://schema.org/transcript","transcript","If this MediaObject is an AudioObject or VideoObject, the transcript of that object.","","","","http://schema.org/AudioObject, http://schema.org/VideoObject","http://schema.org/Text","","",""
"http://schema.org/thumbnail","thumbnail","Thumbnail image for an image or video.","","","","http://schema.org/ImageObject, http://schema.org/VideoObject","http://schema.org/ImageObject","","",""
"http://schema.org/contentSize","contentSize","File size in (mega/kilo) bytes.","","","","http://schema.org/MediaObject","http://schema.org/Text","","",""
"http://schema.org/contentUrl","contentUrl","Actual bytes of the media object, for example the image file or video file.","","","","http://schema.org/MediaObject","http://schema.org/URL","","",""
"http://schema.org/encodingFormat","encodingFormat","Media type typically expressed using a MIME format (see <a href=""http://www.iana.org/assignments/media-types/media-types.xhtml"">IANA site</a> and <a href=""https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types"">MDN reference</a>) e.g. application/zip for a SoftwareApplication binary, audio/mpeg for .mp3 etc.).<br/><br/>

In cases where a <a class=""localLink"" href=""http://schema.org/CreativeWork"">CreativeWork</a> has several media type representations, <a class=""localLink"" href=""http://schema.org/encoding"">encoding</a> can be used to indicate each <a class=""localLink"" href=""http://schema.org/MediaObject"">MediaObject</a> alongside particular <a class=""localLink"" href=""http://schema.org/encodingFormat"">encodingFormat</a> information.<br/><br/>

Unregistered or niche encoding and file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia/Wikidata entry.","","","","http://schema.org/CreativeWork, http://schema.org/MediaObject","http://schema.org/Text, http://schema.org/URL","","http://schema.org/fileFormat",""
"http://schema.org/width","width","The width of the item.","","","","http://schema.org/MediaObject, http://schema.org/Product, http://schema.org/VisualArtwork","http://schema.org/Distance, http://schema.org/QuantitativeValue","","",""
"http://schema.org/height","height","The height of the item.","","","","http://schema.org/MediaObject, http://schema.org/Person, http://schema.org/Product, http://schema.org/VisualArtwork","http://schema.org/Distance, http://schema.org/QuantitativeValue","","",""
"http://schema.org/duration","duration","The duration of the item (movie, audio recording, event, etc.) in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>.","","","http://schema.org/loanTerm","http://schema.org/Audiobook, http://schema.org/Event, http://schema.org/MediaObject, http://schema.org/Movie, http://schema.org/MusicRecording, http://schema.org/MusicRelease, http://schema.org/QuantitativeValueDistribution","http://schema.org/Duration","","",""
"http://schema.org/comment","comment","Comments, typically from users.","","","","http://schema.org/CreativeWork, http://schema.org/RsvpAction","http://schema.org/Comment","","",""
"http://schema.org/audience","audience","An intended audience, i.e. a group for whom something was created.","","","","http://schema.org/CreativeWork, http://schema.org/Event, http://schema.org/LodgingBusiness, http://schema.org/PlayAction, http://schema.org/Product, http://schema.org/Service","http://schema.org/Audience","","http://schema.org/serviceAudience",""
"http://schema.org/aggregateRating","aggregateRating","The overall rating, based on a collection of reviews or ratings, of the item.","","","","http://schema.org/Brand, http://schema.org/CreativeWork, http://schema.org/Event, http://schema.org/Offer, http://schema.org/Organization, http://schema.org/Place, http://schema.org/Product, http://schema.org/Service","http://schema.org/AggregateRating","","",""
